          Dimensions           Particles         Metro-steps               Omega          StepLength                 WF1              Energy          Energy_std          Energy_var       Accept_number        Accept_ratio        Imposampling          Analytical
                   3                  10               32768             1.00000             2.90000             0.70000            15.73395             0.91680             0.84053                 500             0.01526                   1                   1
                   3                  10               32768             1.00000             2.90000             0.80000            17.60828             1.55595             2.42098                 291             0.00888                   1                   1
                   3                  10               32768             1.00000             3.00000             0.20000            21.47483             3.95119            15.61190               15594             0.47589                   1                   1
                   3                  10               32768             1.00000             3.00000             0.30000            16.91243             1.97032             3.88217                7702             0.23505                   1                   1
                   3                  10               32768             1.00000             3.00000             0.40000            15.38998             0.77005             0.59298                3564             0.10876                   1                   1
                   3                  10               32768             1.00000             3.00000             0.60000            15.35736             0.64692             0.41850                 846             0.02582                   1                   1
                   3                  10               32768             1.00000             3.00000             0.70000            16.13052             1.31590             1.73159                 459             0.01401                   1                   1
                   3                  10               32768             1.00000             3.00000             0.80000            18.04078             0.75571             0.57110                 273             0.00833                   1                   1
                   3                  10               32768             1.00000             3.10000             0.20000            21.49366             3.95104            15.61068               14966             0.45673                   1                   1
                   3                  10               32768             1.00000             3.10000             0.30000            16.92986             2.12653             4.52213                7074             0.21588                   1                   1
                   3                  10               32768             1.00000             3.10000             0.40000            15.24981             0.78954             0.62337                3260             0.09949                   1                   1
                   3                  10               32768             1.00000             3.10000             0.60000            15.26437             0.60253             0.36304                 699             0.02133                   1                   1
                   3                  10               32768             1.00000             3.10000             0.70000            16.09752             0.75280             0.56671                 388             0.01184                   1                   1
                   3                  10               32768             1.00000             3.10000             0.80000            18.07207             0.89420             0.79959                 221             0.00674                   1                   1
                   3                  10               32768             1.00000             3.20000             0.20000            21.60642             3.99628            15.97024               14387             0.43906                   1                   1
                   3                  10               32768             1.00000             3.20000             0.30000            16.95969             2.07002             4.28498                6613             0.20181                   1                   1
                   3                  10               32768             1.00000             3.20000             0.40000            15.18253             0.86980             0.75656                2807             0.08566                   1                   1
                   3                  10               32768             1.00000             3.20000             0.60000            15.62261             0.68694             0.47189                 622             0.01898                   1                   1
                   3                  10               32768             1.00000             3.20000             0.70000            17.30391             0.71369             0.50935                 350             0.01068                   1                   1
                   3                  10               32768             1.00000             3.20000             0.80000            18.77251             0.95391             0.90994                 214             0.00653                   1                   1
                   3                  10               32768             1.00000             3.30000             0.20000            21.69660             3.96818            15.74643               13781             0.42056                   1                   1
                   3                  10               32768             1.00000             3.30000             0.30000            17.05915             2.11650             4.47958                6117             0.18668                   1                   1
                   3                  10               32768             1.00000             3.30000             0.40000            15.37474             0.86159             0.74233                2580             0.07874                   1                   1
                   3                  10               32768             1.00000             3.30000             0.60000            15.30630             0.56323             0.31722                 554             0.01691                   1                   1
                   3                  10               32768             1.00000             3.30000             0.70000            16.38261             0.56702             0.32151                 290             0.00885                   1                   1
                   3                  10               32768             1.00000             3.30000             0.80000            18.18778             1.67787             2.81524                 207             0.00632                   1                   1
                   3                  10               32768             1.00000             3.40000             0.20000            21.78807             3.96560            15.72597               13216             0.40332                   1                   1
                   3                  10               32768             1.00000             3.40000             0.30000            16.89978             2.02702             4.10879                5632             0.17188                   1                   1
                   3                  10               32768             1.00000             3.40000             0.40000            15.20724             0.71348             0.50906                2370             0.07233                   1                   1
                   3                  10               32768             1.00000             3.40000             0.60000            15.41441             0.48753             0.23769                 534             0.01630                   1                   1
                   3                  10               32768             1.00000             3.40000             0.70000            16.95613             0.91579             0.83868                 297             0.00906                   1                   1
                   3                  10               32768             1.00000             3.40000             0.80000            19.47840             1.07214             1.14949                 172             0.00525                   1                   1
                   3                  10               32768             1.00000             3.50000             0.20000            21.75247             4.03714            16.29848               12608             0.38477                   1                   1
                   3                  10               32768             1.00000             3.50000             0.30000            16.74341             1.98108             3.92468                5195             0.15854                   1                   1
                   3                  10               32768             1.00000             3.50000             0.40000            15.31200             0.90722             0.82305                2118             0.06464                   1                   1
                   3                  10               32768             1.00000             3.50000             0.60000            15.59224             0.53061             0.28155                 441             0.01346                   1                   1
                   3                  10               32768             1.00000             3.50000             0.70000            17.18249             0.79369             0.62995                 262             0.00800                   1                   1
                   3                  10               32768             1.00000             3.50000             0.80000            20.38177             0.63351             0.40134                 170             0.00519                   1                   1
                   3                  10               32768             1.00000             3.60000             0.20000            21.68787             4.05999            16.48352               12063             0.36813                   1                   1
                   3                  10               32768             1.00000             3.60000             0.30000            16.97133             2.22602             4.95515                4859             0.14828                   1                   1
                   3                  10               32768             1.00000             3.60000             0.40000            15.43224             0.85632             0.73328                1908             0.05823                   1                   1
                   3                  10               32768             1.00000             3.60000             0.60000            15.31520             0.87344             0.76291                 378             0.01154                   1                   1
                   3                  10               32768             1.00000             3.60000             0.70000            16.98169             1.10885             1.22955                 226             0.00690                   1                   1
                   3                  10               32768             1.00000             3.60000             0.80000            19.43863             1.14424             1.30928                 132             0.00403                   1                   1
                   3                  10               32768             1.00000             3.70000             0.20000            21.80251             4.08708            16.70424               11584             0.35352                   1                   1
                   3                  10               32768             1.00000             3.70000             0.30000            16.97738             2.08098             4.33047                4389             0.13394                   1                   1
                   3                  10               32768             1.00000             3.70000             0.40000            15.69137             0.89537             0.80169                1778             0.05426                   1                   1
                   3                  10               32768             1.00000             3.70000             0.60000            15.59901             0.50208             0.25208                 346             0.01056                   1                   1
                   3                  10               32768             1.00000             3.70000             0.70000            17.42710             0.45093             0.20334                 240             0.00732                   1                   1
                   3                  10               32768             1.00000             3.70000             0.80000            19.68162             0.77749             0.60450                 133             0.00406                   1                   1
                   3                  10               32768             1.00000             3.80000             0.20000            21.88521             4.05166            16.41594               11084             0.33826                   1                   1
                   3                  10               32768             1.00000             3.80000             0.30000            16.75858             1.95260             3.81265                4117             0.12564                   1                   1
                   3                  10               32768             1.00000             3.80000             0.40000            15.54933             0.74083             0.54883                1614             0.04926                   1                   1
                   3                  10               32768             1.00000             3.80000             0.60000            15.88306             0.57782             0.33387                 319             0.00974                   1                   1
                   3                  10               32768             1.00000             3.80000             0.70000            17.42106             0.54198             0.29374                 194             0.00592                   1                   1
                   3                  10               32768             1.00000             3.80000             0.80000            19.43872             1.06863             1.14197                 114             0.00348                   1                   1
                   3                  10               32768             1.00000             3.90000             0.20000            21.89611             4.05053            16.40676               10567             0.32248                   1                   1
                   3                  10               32768             1.00000             3.90000             0.30000            16.94454             2.22327             4.94294                3766             0.11493                   1                   1
                   3                  10               32768             1.00000             3.90000             0.40000            15.26873             0.81118             0.65801                1434             0.04376                   1                   1
                   3                  10               32768             1.00000             3.90000             0.60000            15.81471             0.36123             0.13049                 321             0.00980                   1                   1
                   3                  10               32768             1.00000             3.90000             0.70000            17.07044             0.75652             0.57233                 168             0.00513                   1                   1
                   3                  10               32768             1.00000             3.90000             0.80000            20.00147             0.94822             0.89913                 101             0.00308                   1                   1
                   3                  10               32768             1.00000             4.00000             0.20000            21.96610             3.91934            15.36125               10071             0.30734                   1                   1
                   3                  10               32768             1.00000             4.00000             0.30000            16.84288             1.95415             3.81872                3512             0.10718                   1                   1
                   3                  10               32768             1.00000             4.00000             0.40000            15.18550             0.72429             0.52459                1319             0.04025                   1                   1
                   3                  10               32768             1.00000             4.00000             0.60000            15.35518             0.41234             0.17003                 232             0.00708                   1                   1
                   3                  10               32768             1.00000             4.00000             0.70000            17.48674             1.15512             1.33430                 136             0.00415                   1                   1
                   3                  10               32768             1.00000             4.00000             0.80000            20.57417             0.66215             0.43844                 114             0.00348                   1                   1
                   3                  10               32768             1.00000             4.10000             0.20000            21.87881             3.89835            15.19716                9530             0.29083                   1                   1
                   3                  10               32768             1.00000             4.10000             0.30000            16.86583             1.92136             3.69163                3288             0.10034                   1                   1
                   3                  10               32768             1.00000             4.10000             0.40000            15.24949             0.74015             0.54782                1187             0.03622                   1                   1
                   3                  10               32768             1.00000             4.10000             0.60000            15.96703             0.33694             0.11353                 248             0.00757                   1                   1
                   3                  10               32768             1.00000             4.10000             0.70000            17.84360             0.72973             0.53251                 168             0.00513                   1                   1
