          Dimensions           Particles         Metro-steps          StepLength                 WF1              Energy          Energy_std          Energy_var             Alpha_0               Epoch               Alpha                Beta
                   3                  10               65536             1.50000             0.50313            14.99925             0.02319             0.00054             0.60000                  19             0.50313             0.00000
                   3                  10               65536             1.50000             0.50262            14.99826             0.02085             0.00043             0.60000                  20             0.50262             0.00000
                   3                  10               65536             1.50000             0.50211            14.99939             0.01658             0.00028             0.60000                  21             0.50211             0.00000
                   3                  10               65536             1.50000             0.50172            14.99949             0.01373             0.00019             0.60000                  22             0.50172             0.00000
                   3                  10               65536             1.50000             0.50139            15.00011             0.01096             0.00012             0.60000                  23             0.50139             0.00000
                   3                  10               65536             1.50000             0.50113            14.99980             0.00886             0.00008             0.60000                  24             0.50113             0.00000
                   3                  10               65536             1.50000             0.50092            14.99972             0.00714             0.00005             0.60000                  25             0.50092             0.00000
                   3                  10               65536             1.50000             0.50075            14.99971             0.00599             0.00004             0.60000                  26             0.50075             0.00000
                   3                  10               65536             1.50000             0.50060            14.99954             0.00500             0.00002             0.60000                  27             0.50060             0.00000
                   3                  10               65536             1.50000             0.50048            14.99986             0.00381             0.00001             0.60000                  28             0.50048             0.00000
                   3                  10               65536             1.50000             0.50038            14.99987             0.00298             0.00001             0.60000                  29             0.50038             0.00000
                   3                  10               65536             1.50000             0.50031            15.00007             0.00243             0.00001             0.60000                  30             0.50031             0.00000
                   3                  10               65536             1.50000             0.50026            15.00001             0.00197             0.00000             0.60000                  31             0.50026             0.00000
                   3                  10               65536             1.50000             0.50021            15.00004             0.00160             0.00000             0.60000                  32             0.50021             0.00000
                   3                  10               65536             1.50000             0.50018            15.00006             0.00134             0.00000             0.60000                  33             0.50018             0.00000
                   3                  10               65536             1.50000             0.50015            14.99992             0.00114             0.00000             0.60000                  34             0.50015             0.00000
                   3                  10               65536             1.50000             0.50012            14.99992             0.00114             0.00000             0.60000                  35             0.50012             0.00000
                   3                  10               65536             1.50000             0.70000            15.89147             1.31511             1.72951             0.70000                   0             0.70000             0.00000
                   3                  10               65536             1.50000             0.67818            15.75462             1.14307             1.30661             0.70000                   1             0.67818             0.00000
                   3                  10               65536             1.50000             0.65933            15.57035             1.12446             1.26440             0.70000                   2             0.65933             0.00000
                   3                  10               65536             1.50000             0.63861            15.46544             0.95008             0.90265             0.70000                   3             0.63861             0.00000
                   3                  10               65536             1.50000             0.62129            15.34429             0.87599             0.76735             0.70000                   4             0.62129             0.00000
                   3                  10               65536             1.50000             0.60421            15.23974             0.74288             0.55187             0.70000                   5             0.60421             0.00000
                   3                  10               65536             1.50000             0.58968            15.19327             0.62923             0.39593             0.70000                   6             0.58968             0.00000
                   3                  10               65536             1.50000             0.57742            15.14678             0.56101             0.31473             0.70000                   7             0.57742             0.00000
                   3                  10               65536             1.50000             0.56599            15.11838             0.46276             0.21415             0.70000                   8             0.56599             0.00000
                   3                  10               65536             1.50000             0.55677            15.08223             0.44389             0.19704             0.70000                   9             0.55677             0.00000
                   3                  10               65536             1.50000             0.54683            15.05706             0.34098             0.11626             0.70000                  10             0.54683             0.00000
                   3                  10               65536             1.50000             0.53965            15.03741             0.28689             0.08230             0.70000                  11             0.53965             0.00000
                   3                  10               65536             1.50000             0.53360            15.02556             0.25013             0.06256             0.70000                  12             0.53360             0.00000
                   3                  10               65536             1.50000             0.52815            15.00984             0.21614             0.04672             0.70000                  13             0.52815             0.00000
                   3                  10               65536             1.50000             0.52326            15.00678             0.17290             0.02990             0.70000                  14             0.52326             0.00000
                   3                  10               65536             1.50000             0.51945            15.01579             0.14346             0.02058             0.70000                  15             0.51945             0.00000
                   3                  10               65536             1.50000             0.51631            15.00600             0.12193             0.01487             0.70000                  16             0.51631             0.00000
                   3                  10               65536             1.50000             0.51360            15.01110             0.10270             0.01055             0.70000                  17             0.51360             0.00000
                   3                  10               65536             1.50000             0.51128            14.99501             0.09042             0.00818             0.70000                  18             0.51128             0.00000
                   3                  10               65536             1.50000             0.50911            15.00112             0.06651             0.00442             0.70000                  19             0.50911             0.00000
                   3                  10               65536             1.50000             0.50765            14.99743             0.06089             0.00371             0.70000                  20             0.50765             0.00000
                   3                  10               65536             1.50000             0.50619            14.99993             0.04863             0.00236             0.70000                  21             0.50619             0.00000
                   3                  10               65536             1.50000             0.50504            14.99801             0.04005             0.00160             0.70000                  22             0.50504             0.00000
                   3                  10               65536             1.50000             0.50409            14.99951             0.03219             0.00104             0.70000                  23             0.50409             0.00000
                   3                  10               65536             1.50000             0.50332            14.99996             0.02606             0.00068             0.70000                  24             0.50332             0.00000
                   3                  10               65536             1.50000             0.50270            14.99976             0.02089             0.00044             0.70000                  25             0.50270             0.00000
                   3                  10               65536             1.50000             0.50222            14.99902             0.01762             0.00031             0.70000                  26             0.50222             0.00000
                   3                  10               65536             1.50000             0.50179            14.99877             0.01512             0.00023             0.70000                  27             0.50179             0.00000
                   3                  10               65536             1.50000             0.50141            15.00013             0.01076             0.00012             0.70000                  28             0.50141             0.00000
                   3                  10               65536             1.50000             0.50116            14.99961             0.00897             0.00008             0.70000                  29             0.50116             0.00000
                   3                  10               65536             1.50000             0.50095            15.00033             0.00709             0.00005             0.70000                  30             0.50095             0.00000
                   3                  10               65536             1.50000             0.50079            15.00014             0.00596             0.00004             0.70000                  31             0.50079             0.00000
                   3                  10               65536             1.50000             0.50065            15.00038             0.00479             0.00002             0.70000                  32             0.50065             0.00000
                   3                  10               65536             1.50000             0.50054            15.00021             0.00413             0.00002             0.70000                  33             0.50054             0.00000
                   3                  10               65536             1.50000             0.50045            14.99982             0.00349             0.00001             0.70000                  34             0.50045             0.00000
                   3                  10               65536             1.50000             0.50037            14.99999             0.00284             0.00001             0.70000                  35             0.50037             0.00000
                   3                  10               65536             1.50000             0.50030            15.00003             0.00226             0.00001             0.70000                  36             0.50030             0.00000
                   3                  10               65536             1.50000             0.50025            15.00007             0.00191             0.00000             0.70000                  37             0.50025             0.00000
                   3                  10               65536             1.50000             0.50021            15.00003             0.00159             0.00000             0.70000                  38             0.50021             0.00000
                   3                  10               65536             1.50000             0.50017            15.00013             0.00124             0.00000             0.70000                  39             0.50017             0.00000
                   3                  10               65536             1.50000             0.50014            15.00013             0.00124             0.00000             0.70000                  40             0.50014             0.00000
                   3                  10               65536             1.50000             0.80000            16.84474             1.87104             3.50080             0.80000                   0             0.80000             0.00000
                   3                  10               65536             1.50000             0.77282            16.49334             1.66362             2.76762             0.80000                   1             0.77282             0.00000
                   3                  10               65536             1.50000             0.74869            16.16888             1.68771             2.84838             0.80000                   2             0.74869             0.00000
                   3                  10               65536             1.50000             0.72091            16.00528             1.41516             2.00267             0.80000                   3             0.72091             0.00000
                   3                  10               65536             1.50000             0.69843            15.77130             1.35386             1.83295             0.80000                   4             0.69843             0.00000
                   3                  10               65536             1.50000             0.67509            15.60066             1.24526             1.55067             0.80000                   5             0.67509             0.00000
                   3                  10               65536             1.50000             0.65227            15.53746             1.02233             1.04515             0.80000                   6             0.65227             0.00000
                   3                  10               65536             1.50000             0.63423            15.40107             0.93137             0.86744             0.80000                   7             0.63423             0.00000
                   3                  10               65536             1.50000             0.61698            15.37377             0.78360             0.61404             0.80000                   8             0.61698             0.00000
                   3                  10               65536             1.50000             0.60276            15.23871             0.74371             0.55311             0.80000                   9             0.60276             0.00000
                   3                  10               65536             1.50000             0.58798            15.20650             0.62216             0.38709             0.80000                  10             0.58798             0.00000
                   3                  10               65536             1.50000             0.57573            15.19112             0.54379             0.29571             0.80000                  11             0.57573             0.00000
                   3                  10               65536             1.50000             0.56474            15.09682             0.47278             0.22352             0.80000                  12             0.56474             0.00000
                   3                  10               65536             1.50000             0.55492            15.06426             0.41059             0.16858             0.80000                  13             0.55492             0.00000
                   3                  10               65536             1.50000             0.54611            15.05170             0.33695             0.11354             0.80000                  14             0.54611             0.00000
                   3                  10               65536             1.50000             0.53898            15.04940             0.28415             0.08074             0.80000                  15             0.53898             0.00000
                   3                  10               65536             1.50000             0.53295            15.02568             0.25076             0.06288             0.80000                  16             0.53295             0.00000
                   3                  10               65536             1.50000             0.52735            15.02948             0.20851             0.04348             0.80000                  17             0.52735             0.00000
                   3                  10               65536             1.50000             0.52267            14.99574             0.17907             0.03207             0.80000                  18             0.52267             0.00000
                   3                  10               65536             1.50000             0.51848            14.99441             0.13587             0.01846             0.80000                  19             0.51848             0.00000
                   3                  10               65536             1.50000             0.51551            14.99430             0.12390             0.01535             0.80000                  20             0.51551             0.00000
                   3                  10               65536             1.50000             0.51256            15.00078             0.09687             0.00938             0.80000                  21             0.51256             0.00000
                   3                  10               65536             1.50000             0.51032            14.99649             0.08278             0.00685             0.80000                  22             0.51032             0.00000
                   3                  10               65536             1.50000             0.50833            14.99856             0.06363             0.00405             0.80000                  23             0.50833             0.00000
                   3                  10               65536             1.50000             0.50687            15.00147             0.05236             0.00274             0.80000                  24             0.50687             0.00000
                   3                  10               65536             1.50000             0.50567            15.00031             0.04357             0.00190             0.80000                  25             0.50567             0.00000
                   3                  10               65536             1.50000             0.50466            14.99903             0.03693             0.00136             0.80000                  26             0.50466             0.00000
                   3                  10               65536             1.50000             0.50378            14.99868             0.03119             0.00097             0.80000                  27             0.50378             0.00000
                   3                  10               65536             1.50000             0.50301            14.99970             0.02383             0.00057             0.80000                  28             0.50301             0.00000
                   3                  10               65536             1.50000             0.50244            14.99963             0.01851             0.00034             0.80000                  29             0.50244             0.00000
                   3                  10               65536             1.50000             0.50201            15.00050             0.01547             0.00024             0.80000                  30             0.50201             0.00000
                   3                  10               65536             1.50000             0.50165            14.99995             0.01243             0.00015             0.80000                  31             0.50165             0.00000
                   3                  10               65536             1.50000             0.50137            15.00042             0.01043             0.00011             0.80000                  32             0.50137             0.00000
                   3                  10               65536             1.50000             0.50113            15.00067             0.00849             0.00007             0.80000                  33             0.50113             0.00000
                   3                  10               65536             1.50000             0.50094            14.99964             0.00718             0.00005             0.80000                  34             0.50094             0.00000
                   3                  10               65536             1.50000             0.50077            14.99986             0.00612             0.00004             0.80000                  35             0.50077             0.00000
                   3                  10               65536             1.50000             0.50062            15.00009             0.00479             0.00002             0.80000                  36             0.50062             0.00000
                   3                  10               65536             1.50000             0.50051            15.00014             0.00396             0.00002             0.80000                  37             0.50051             0.00000
                   3                  10               65536             1.50000             0.50042            15.00022             0.00337             0.00001             0.80000                  38             0.50042             0.00000
                   3                  10               65536             1.50000             0.50034            15.00023             0.00250             0.00001             0.80000                  39             0.50034             0.00000
                   3                  10               65536             1.50000             0.50028            15.00010             0.00222             0.00000             0.80000                  40             0.50028             0.00000
                   3                  10               65536             1.50000             0.50023            15.00008             0.00178             0.00000             0.80000                  41             0.50023             0.00000
                   3                  10               65536             1.50000             0.50019            15.00010             0.00144             0.00000             0.80000                  42             0.50019             0.00000
                   3                  10               65536             1.50000             0.50016            15.00004             0.00115             0.00000             0.80000                  43             0.50016             0.00000
                   3                  10               65536             1.50000             0.50013            15.00004             0.00115             0.00000             0.80000                  44             0.50013             0.00000
                   3                  10               65536             1.50000             0.90000            17.74400             2.46882             6.09509             0.90000                   0             0.90000             0.00000
                   3                  10               65536             1.50000             0.86704            17.34332             2.12128             4.49982             0.90000                   1             0.86704             0.00000
                   3                  10               65536             1.50000             0.83989            17.02383             2.11924             4.49118             0.90000                   2             0.83989             0.00000
                   3                  10               65536             1.50000             0.81003            16.66473             1.97234             3.89011             0.90000                   3             0.81003             0.00000
                   3                  10               65536             1.50000             0.78103            16.55424             1.75151             3.06778             0.90000                   4             0.78103             0.00000
                   3                  10               65536             1.50000             0.75522            16.17306             1.73376             3.00592             0.90000                   5             0.75522             0.00000
                   3                  10               65536             1.50000             0.72681            16.01678             1.47219             2.16734             0.90000                   6             0.72681             0.00000
                   3                  10               65536             1.50000             0.70323            15.86410             1.33099             1.77153             0.90000                   7             0.70323             0.00000
                   3                  10               65536             1.50000             0.68129            15.74371             1.19816             1.43559             0.90000                   8             0.68129             0.00000
                   3                  10               65536             1.50000             0.66100            15.54439             1.13520             1.28867             0.90000                   9             0.66100             0.00000
                   3                  10               65536             1.50000             0.64012            15.43759             0.94265             0.88859             0.90000                  10             0.64012             0.00000
                   3                  10               65536             1.50000             0.62328            15.36842             0.87284             0.76184             0.90000                  11             0.62328             0.00000
                   3                  10               65536             1.50000             0.60662            15.27632             0.74166             0.55005             0.90000                  12             0.60662             0.00000
                   3                  10               65536             1.50000             0.59250            15.18112             0.67328             0.45330             0.90000                  13             0.59250             0.00000
                   3                  10               65536             1.50000             0.57892            15.15203             0.55587             0.30899             0.90000                  14             0.57892             0.00000
                   3                  10               65536             1.50000             0.56793            15.11195             0.48185             0.23218             0.90000                  15             0.56793             0.00000
                   3                  10               65536             1.50000             0.55824            15.07699             0.41950             0.17598             0.90000                  16             0.55824             0.00000
                   3                  10               65536             1.50000             0.54960            15.07849             0.37515             0.14073             0.90000                  17             0.54960             0.00000
                   3                  10               65536             1.50000             0.54141            15.01765             0.31969             0.10220             0.90000                  18             0.54141             0.00000
                   3                  10               65536             1.50000             0.53424            15.01216             0.24593             0.06048             0.90000                  19             0.53424             0.00000
                   3                  10               65536             1.50000             0.52906            15.01357             0.22658             0.05134             0.90000                  20             0.52906             0.00000
                   3                  10               65536             1.50000             0.52387            15.00821             0.18108             0.03279             0.90000                  21             0.52387             0.00000
                   3                  10               65536             1.50000             0.51980            15.00304             0.14932             0.02230             0.90000                  22             0.51980             0.00000
                   3                  10               65536             1.50000             0.51646            15.00300             0.12847             0.01650             0.90000                  23             0.51646             0.00000
                   3                  10               65536             1.50000             0.51347            15.00845             0.10203             0.01041             0.90000                  24             0.51347             0.00000
                   3                  10               65536             1.50000             0.51117            15.00079             0.08596             0.00739             0.90000                  25             0.51117             0.00000
                   3                  10               65536             1.50000             0.50918            14.99527             0.07391             0.00546             0.90000                  26             0.50918             0.00000
                   3                  10               65536             1.50000             0.50740            14.99814             0.06051             0.00366             0.90000                  27             0.50740             0.00000
                   3                  10               65536             1.50000             0.50591            15.00277             0.04464             0.00199             0.90000                  28             0.50591             0.00000
                   3                  10               65536             1.50000             0.50490            15.00018             0.03696             0.00137             0.90000                  29             0.50490             0.00000
                   3                  10               65536             1.50000             0.50406            15.00146             0.03133             0.00098             0.90000                  30             0.50406             0.00000
                   3                  10               65536             1.50000             0.50333            15.00047             0.02505             0.00063             0.90000                  31             0.50333             0.00000
                   3                  10               65536             1.50000             0.50276            15.00163             0.01981             0.00039             0.90000                  32             0.50276             0.00000
                   3                  10               65536             1.50000             0.50233            15.00109             0.01776             0.00032             0.90000                  33             0.50233             0.00000
                   3                  10               65536             1.50000             0.50192            14.99984             0.01512             0.00023             0.90000                  34             0.50192             0.00000
                   3                  10               65536             1.50000             0.50156            15.00044             0.01185             0.00014             0.90000                  35             0.50156             0.00000
                   3                  10               65536             1.50000             0.50128            14.99971             0.00982             0.00010             0.90000                  36             0.50128             0.00000
                   3                  10               65536             1.50000             0.50106            15.00038             0.00815             0.00007             0.90000                  37             0.50106             0.00000
                   3                  10               65536             1.50000             0.50087            15.00052             0.00650             0.00004             0.90000                  38             0.50087             0.00000
                   3                  10               65536             1.50000             0.50072            15.00029             0.00535             0.00003             0.90000                  39             0.50072             0.00000
