          Dimensions           Particles         Metro-steps            Eq-steps          StepLength                Time          Analytical              Energy          Energy_std
                   3                   4               40000              100000             0.20000             1060066                   0             6.08157             0.37141
                   3                   4               40000              100000             0.20000              486247                   1             6.08157             0.37141
                   3                   4               40000              100000             0.20000             1078355                   0             6.08157             0.37141
                   3                   4               40000              100000             0.20000              432894                   1             6.08157             0.37141
                   3                   4               40000              100000             0.20000             1191316                   0             6.08157             0.37141
                   3                   4               40000              100000             0.20000              442747                   1             6.08157             0.37141
                   3                   4               40000              100000             0.20000             1187140                   0             6.08157             0.37141
                   3                   4               40000              100000             0.20000              436118                   1             6.08157             0.37141
                   3                   4               40000              100000             0.20000             1083179                   0             6.08157             0.37141
                   3                   4               40000              100000             0.20000              445079                   1             6.08157             0.37141
                   3                   4               40000              100000             0.20000             1056580                   0             6.08157             0.37141
                   3                   4               40000              100000             0.20000              475707                   1             6.08157             0.37141
                   3                   4               40000              100000             0.20000             1217052                   0             6.08157             0.37141
                   3                   4               40000              100000             0.20000              498678                   1             6.08157             0.37141
                   3                   4               40000              100000             0.20000             1081828                   0             6.08157             0.37141
                   3                   4               40000              100000             0.20000              495467                   1             6.08157             0.37141
                   3                   4               40000              100000             0.20000             1090658                   0             6.08157             0.37141
                   3                   5               49999              100000             0.20000              649972                   1             7.59153             0.38728
                   3                   5               49999              100000             0.20000             1783096                   0             7.59153             0.38728
                   3                   5               49999              100000             0.20000              649799                   1             7.59153             0.38728
                   3                   5               49999              100000             0.20000             1781573                   0             7.59153             0.38728
                   3                   5               49999              100000             0.20000              650189                   1             7.59153             0.38728
                   3                   5               49999              100000             0.20000             1617140                   0             7.59153             0.38728
                   3                   5               49999              100000             0.20000              646399                   1             7.59153             0.38728
                   3                   5               49999              100000             0.20000             1613669                   0             7.59153             0.38728
                   3                   5               49999              100000             0.20000              650420                   1             7.59153             0.38728
                   3                   5               49999              100000             0.20000             1622457                   0             7.59153             0.38728
                   3                   5               49999              100000             0.20000              573816                   1             7.59153             0.38728
                   3                   5               49999              100000             0.20000             1613719                   0             7.59153             0.38728
                   3                   5               49999              100000             0.20000              576908                   1             7.59153             0.38728
                   3                   5               49999              100000             0.20000             1813055                   0             7.59153             0.38728
                   3                   5               49999              100000             0.20000              573562                   1             7.59153             0.38728
                   3                   5               49999              100000             0.20000             1625496                   0             7.59153             0.38728
                   3                   5               49999              100000             0.20000              574891                   1             7.59153             0.38728
                   3                   5               49999              100000             0.20000             1812115                   0             7.59153             0.38728
                   3                   5               49999              100000             0.20000              595956                   1             7.59153             0.38728
                   3                   5               49999              100000             0.20000             1795992                   0             7.59153             0.38728
                   3                  10              100000              100000             0.20000             1692420                   1            15.20218             0.51226
                   3                  10              100000              100000             0.20000             5800312                   0            15.20218             0.51226
                   3                  10              100000              100000             0.20000             1705714                   1            15.20218             0.51226
                   3                  10              100000              100000             0.20000             6486852                   0            15.20218             0.51226
                   3                  10              100000              100000             0.20000             1689995                   1            15.20218             0.51226
                   3                  10              100000              100000             0.20000             6603197                   0            15.20218             0.51226
                   3                  10              100000              100000             0.20000             1989875                   1            15.20218             0.51226
                   3                  10              100000              100000             0.20000             6425009                   0            15.20218             0.51226
                   3                  10              100000              100000             0.20000             2667972                   1            15.20218             0.51226
                   3                  10              100000              100000             0.20000             7264090                   0            15.20218             0.51226
                   3                  10              100000              100000             0.20000             1755782                   1            15.20218             0.51226
                   3                  10              100000              100000             0.20000             6678965                   0            15.20218             0.51226
                   3                  10              100000              100000             0.20000             1829734                   1            15.20218             0.51226
                   3                  10              100000              100000             0.20000             6627171                   0            15.20218             0.51226
                   3                  10              100000              100000             0.20000             1748639                   1            15.20218             0.51226
                   3                  10              100000              100000             0.20000             6649035                   0            15.20218             0.51226
                   3                  10              100000              100000             0.20000             1761784                   1            15.20218             0.51226
                   3                  10              100000              100000             0.20000             6550606                   0            15.20218             0.51226
                   3                  10              100000              100000             0.20000             1947340                   1            15.20218             0.51226
                   3                  10              100000              100000             0.20000             6513502                   0            15.20218             0.51226
                   3                  15              150000              100000             0.20000             3863649                   1            22.78238             0.69135
                   3                  15              150000              100000             0.20000            13510910                   0            22.78238             0.69135
                   3                  15              150000              100000             0.20000             3845989                   1            22.78238             0.69135
                   3                  15              150000              100000             0.20000            14174545                   0            22.78238             0.69135
                   3                  15              150000              100000             0.20000             3482138                   1            22.78238             0.69135
                   3                  15              150000              100000             0.20000            14220825                   0            22.78238             0.69135
                   3                  15              150000              100000             0.20000             3519876                   1            22.78238             0.69135
                   3                  15              150000              100000             0.20000            14294751                   0            22.78238             0.69135
                   3                  15              150000              100000             0.20000             3483094                   1            22.78238             0.69135
                   3                  15              150000              100000             0.20000            14454955                   0            22.78238             0.69135
                   3                  15              150000              100000             0.20000             3504664                   1            22.78238             0.69135
                   3                  15              150000              100000             0.20000            13164593                   0            22.78238             0.69135
                   3                  15              150000              100000             0.20000             3918277                   1            22.78238             0.69135
                   3                  15              150000              100000             0.20000            14420706                   0            22.78238             0.69135
                   3                  15              150000              100000             0.20000             3894783                   1            22.78238             0.69135
